id,node_a,node_b,weight
411/864,411,864,0.19234543670264967
996/1666,996,1666,0.019559902200488997
715/716,715,716,0.007228915662650603
715/180,715,180,0.007936507936507936
715/1084,715,1084,0.2224788298691301
715/298,715,298,0.3450479233226837
715/526,715,526,0.16064638783269963
715/1839,715,1839,0.005765534913516977
479/1202,479,1202,0.01956521739130435
479/1041,479,1041,0.016194331983805668
479/568,479,568,0.0703125
1588/1445,1588,1445,0.15723270440251572
1588/430,1588,430,0.05065666041275797
1588/827,1588,827,0.04302019315188762
1588/1264,1588,1264,0.017605633802816902
1588/581,1588,581,0.010197578075207138
1881/2023,1881,2023,0.014084507042253521
1881/1992,1881,1992,0.014106583072100314
1881/790,1881,790,0.012311901504787962
1881/1198,1881,1198,0.10512597741094701
410/159,410,159,0.24060150375939848
410/593,410,593,0.015920398009950248
2876/2863,2876,2863,0.03862660944206009
2949/2539,2949,2539,0.1072961373390558
2949/1667,2949,1667,0.040313549832026875
2949/1155,2949,1155,0.034530386740331494
2916/703,2916,703,0.016245487364620937
2916/1963,2916,1963,0.02572347266881029
2916/1376,2916,1376,0.0112079701120797
1178/208,1178,208,0.014423076923076924
1477/1997,1477,1997,0.7529411764705882
1477/773,1477,773,0.14513788098693758
1477/684,1477,684,0.10643889618922471
1477/2008,1477,2008,0.011166253101736972
1477/1448,1477,1448,0.15445232466509062
1477/2900,1477,2900,0.030828516377649325
1477/1940,1477,1940,0.13054830287206268
1477/1330,1477,1330,0.0215633423180593
1477/371,1477,371,0.025227043390514632
1477/998,1477,998,0.05382674516400336
80/281,80,281,0.21524663677130046
80/184,80,184,0.02459016393442623
408/1252,408,1252,0.03317972350230415
408/403,408,403,0.05904059040590406
183/2146,183,2146,0.3772845953002611
183/991,183,991,0.06091370558375635
183/2492,183,2492,0.05112474437627812
183/141,183,141,0.039735099337748346
183/1100,183,1100,0.039740470397404706
1131/2637,1131,2637,0.01559792027729636
1131/1212,1131,1212,0.4701492537313433
1131/1130,1131,1130,0.40298507462686567
1131/1209,1131,1209,0.01148600143575018
1429/1244,1429,1244,0.00963275135460566
1429/1573,1429,1573,0.006081081081081081
1461/1340,1461,1340,0.06038647342995169
1461/1460,1461,1460,0.7292929292929293
321/1336,321,1336,0.021595680863827234
321/1403,321,1403,0.07801418439716312
1155/1667,1155,1667,0.2625454545454545
1155/1773,1155,1773,0.008302583025830259
1019/1657,1019,1657,0.0065170166545981175
1019/1404,1019,1404,0.04844497607655503
1019/1035,1019,1035,0.03230691569914185
1019/1725,1019,1725,0.0612369871402327
1330/1997,1330,1997,0.10546875
1330/2900,1330,2900,0.1272365805168986
1330/1550,1330,1550,0.05389221556886228
1330/2008,1330,2008,0.12706480304955528
1330/2885,1330,2885,0.018947368421052633
1330/1940,1330,1940,0.03293807641633729
502/361,502,361,0.040983606557377046
745/1775,745,1775,0.03176620076238882
2872/2243,2872,2243,0.02027027027027027
554/2883,554,2883,0.2149122807017544
2925/136,2925,136,0.02844141069397042
1306/1508,1306,1508,0.09278350515463918
1306/301,1306,301,0.012569832402234637
646/2,646,2,0.1643002028397566
24/257,24,257,0.06629834254143646
24/1828,24,1828,0.09183673469387756
1170/702,1170,702,0.37209302325581395
1170/1448,1170,1448,0.05678793256433008
1170/2021,1170,2021,0.19834710743801653
1170/1749,1170,1749,0.13166485310119697
1170/694,1170,694,0.03995560488346282
1170/1435,1170,1435,0.007772020725388601
851/1281,851,1281,0.01615798922800718
998/2071,998,2071,0.10395010395010396
998/158,998,158,0.02575107296137339
998/1840,998,1840,0.017158544955387784
998/2575,998,2575,0.020292207792207792
998/2878,998,2878,0.05285868392664509
998/1100,998,1100,0.0148720999405116
568/501,568,501,0.042720139494333044
568/1752,568,1752,0.02011263073209976
568/705,568,705,0.7572892040977147
568/1102,568,1102,0.7701465201465202
568/1602,568,1602,0.07841239109390126
568/1041,568,1041,0.02735229759299781
568/367,568,367,0.04230317273795535
2947/1292,2947,1292,0.009009009009009009
325/580,325,580,0.014925373134328358
1944/383,1944,383,0.02100840336134454
1944/1508,1944,1508,0.006484149855907781
1944/1732,1944,1732,0.013865779256794232
612/1286,612,1286,0.0797244094488189
612/1534,612,1534,0.05240174672489083
612/1232,612,1232,0.03221649484536082
1476/1775,1476,1775,0.007985803016858917
2159/1228,2159,1228,0.0831615120274914
2159/1300,2159,1300,0.016684045881126174
2159/1632,2159,1632,0.06447368421052632
2159/2980,2159,2980,0.03319502074688797
2159/723,2159,723,0.015065913370998116
2862/2891,2862,2891,0.1801470588235294
2862/1743,2862,1743,0.05825242718446602
2862/2905,2862,2905,0.03435114503816794
2862/1917,2862,1917,0.052202283849918436
293/1851,293,1851,0.016304347826086956
293/388,293,388,0.22677165354330708
293/1539,293,1539,0.01990049751243781
1932/1513,1932,1513,0.10561056105610561
1932/1841,1932,1841,0.04621072088724584
1932/1410,1932,1410,0.021404109589041095
1932/1415,1932,1415,0.10371318822023047
1932/707,1932,707,0.009221311475409836
372/742,372,742,0.02796420581655481
372/1396,372,1396,0.5463414634146342
1459/1238,1459,1238,0.029484029484029485
1459/1157,1459,1157,0.037267080745341616
1209/1212,1209,1212,0.04227212681638045
1209/1130,1209,1130,0.006512301013024602
1875/1141,1875,1141,0.05930807248764415
1875/1668,1875,1668,0.03680981595092025
141/2146,141,2146,0.06786850477200425
141/1428,141,1428,0.28673550436854645
141/1889,141,1889,0.06815020862308763
141/737,141,737,0.3431558935361217
937/619,937,619,0.022871664548919948
937/1318,937,1318,0.005136986301369863
937/265,937,265,0.3326460481099656
241/344,241,344,0.19225634178905207
1462/1530,1462,1530,0.046511627906976744
1462/31,1462,31,0.21877365632096896
1462/270,1462,270,0.05878084179970972
1462/481,1462,481,0.01592356687898089
1462/854,1462,854,0.4575402635431918
687/1294,687,1294,0.026865671641791045
687/1240,687,1240,0.02284263959390863
1329/729,1329,729,0.005653266331658292
1329/1174,1329,1174,0.05159958720330237
1329/1339,1329,1339,0.13134851138353765
892/1225,892,1225,0.07246376811594203
892/1353,892,1353,0.3412042502951594
892/1260,892,1260,0.012362637362637362
892/1789,892,1789,0.04422382671480144
892/691,892,691,0.22685185185185186
892/952,892,952,0.2644628099173554
892/1323,892,1323,0.018018018018018018
1529/742,1529,742,0.2045929018789144
1529/743,1529,743,0.13565022421524664
1529/1686,1529,1686,0.08132530120481928
1337/1351,1337,1351,0.13953488372093023
1337/1348,1337,1348,0.13457943925233645
782/783,782,783,0.12098298676748583
1450/1678,1450,1678,0.02714440825190011
1450/1252,1450,1252,0.07855459544383346
1544/1852,1544,1852,0.010416666666666666
1260/1225,1260,1225,0.26595744680851063
1260/952,1260,952,0.01991150442477876
1260/1343,1260,1343,0.0576057605760576
769/1252,769,1252,0.06684491978609626
769/279,769,279,0.12077294685990338
1972/820,1972,820,0.035398230088495575
1972/264,1972,264,0.014729950900163666
723/1300,723,1300,0.019201228878648235
723/1228,723,1228,0.019955654101995565
723/626,723,626,0.03873517786561265
723/1632,723,1632,0.014453477868112014
723/965,723,965,0.014072119613016711
723/3006,723,3006,0.10049627791563276
723/2980,723,2980,0.09866017052375152
1649/1416,1649,1416,0.11890999174236168
1649/363,1649,363,0.010948905109489052
631/619,631,619,0.24177396280400573
631/1153,631,1153,0.4764705882352941
701/1314,701,1314,0.03651266766020864
701/477,701,477,0.02262443438914027
701/425,701,425,0.07964601769911504
1633/1404,1633,1404,0.02631578947368421
1633/1234,1633,1234,0.08156606851549755
1633/2249,1633,2249,0.022851919561243144
1633/1243,1633,1243,0.020798668885191347
1633/652,1633,652,0.06280667320902845
1240/1478,1240,1478,0.022900763358778626
1240/1269,1240,1269,0.0903010033444816
267/1392,267,1392,0.007334963325183374
327/326,327,326,0.153125
327/603,327,603,0.024793388429752067
327/806,327,806,0.02962962962962963
1941/1561,1941,1561,0.2730210016155089
186/1394,186,1394,0.012139605462822459
186/1297,186,1297,0.04046242774566474
186/447,186,447,0.078125
1600/474,1600,474,0.16750418760469013
1600/1622,1600,1622,0.012569832402234637
1600/328,1600,328,0.046468401486988845
1600/1895,1600,1895,0.008522727272727272
1157/1238,1157,1238,0.008379888268156424
1157/860,1157,860,0.11392405063291139
920/343,920,343,0.08221476510067115
2905/1917,2905,1917,0.013593882752761258
605/506,605,506,0.014787430683918669
605/23,605,23,0.024464831804281346
605/60,605,60,0.01327433628318584
605/714,605,714,0.5364238410596026
605/611,605,611,0.0201765447667087
605/1077,605,1077,0.02059202059202059
605/926,605,926,0.010638297872340425
605/932,605,932,0.02200825309491059
605/1507,605,1507,0.057487579843860895
605/904,605,904,0.025559105431309903
1682/1390,1682,1390,0.044563279857397504
1682/1034,1682,1034,0.02158273381294964
1682/134,1682,134,0.056962025316455694
1076/1521,1076,1521,0.09859154929577464
1076/1868,1076,1868,0.11160714285714286
1374/1754,1374,1754,0.013024602026049204
1374/1467,1374,1467,0.031055900621118012
38/214,38,214,0.06870229007633588
38/1449,38,1449,0.015234613040828763
1611/180,1611,180,0.015280135823429542
1611/67,1611,67,0.04187604690117253
1611/1084,1611,1084,0.047058823529411764
1074/1071,1074,1071,0.3050847457627119
2265/1060,2265,1060,0.12286689419795221
2265/2266,2265,2266,0.3320235756385069
2265/2267,2265,2267,0.26519337016574585
2265/2264,2265,2264,4.175257731958763
2265/2256,2265,2256,0.21043478260869566
2265/2257,2265,2257,0.22283609576427257
2265/2254,2265,2254,0.22201834862385322
2265/1642,2265,1642,0.037821482602118005
2265/306,2265,306,0.03
2265/2255,2265,2255,0.06228373702422145
700/741,700,741,0.02009646302250804
700/1448,700,1448,0.014916467780429593
700/412,700,412,0.21676300578034682
700/692,700,692,0.12114695340501792
700/413,700,413,0.1798165137614679
700/43,700,43,0.06596091205211727
700/414,700,414,0.10141987829614604
700/1749,700,1749,0.11551606288448393
700/415,700,415,0.06564102564102564
700/371,700,371,0.025936599423631124
700/694,700,694,0.017265193370165747
1077/23,1077,23,0.022727272727272728
1077/932,1077,932,0.07725321888412018
2144/2002,2144,2002,0.011097410604192354
2144/1667,2144,1667,0.0072874493927125505
2144/666,2144,666,0.014943215780035863
1437/1119,1437,1119,0.050720100187852224
1437/1359,1437,1359,0.05242718446601942
1437/155,1437,155,0.07746478873239436
1437/680,1437,680,0.0736457699330493
1437/1735,1437,1735,0.02403204272363151
1437/1432,1437,1432,0.043478260869565216
1509/1504,1509,1504,0.02561421850496602
1509/95,1509,95,0.0574468085106383
579/1423,579,1423,0.10736468500443656
579/1561,579,1561,0.04032258064516129
613/891,613,891,0.08361204013377926
746/2931,746,2931,0.099601593625498
712/2996,712,2996,0.01576182136602452
1753/1591,1753,1591,0.14021421616358326
1753/1265,1753,1265,0.07970112079701121
1753/1256,1753,1256,0.07567229518449031
1753/742,1753,742,0.11210762331838565
1753/1732,1753,1732,0.016611295681063124
1753/1741,1753,1741,0.0223463687150838
1753/711,1753,711,0.01139240506329114
1920/1585,1920,1585,0.03673938002296211
1635/1408,1635,1408,0.24
1635/1608,1635,1608,0.3690205011389522
1635/1079,1635,1079,0.0156794425087108
1635/1890,1635,1890,0.13351134846461948
1635/1085,1635,1085,0.04190919674039581
1635/1536,1635,1536,0.08398950131233596
1587/1728,1587,1728,0.007468879668049793
1587/376,1587,376,0.07010014306151645
1587/375,1587,375,0.28888888888888886
1587/42,1587,42,0.09026798307475317
1587/1586,1587,1586,0.4792079207920792
1263/1643,1263,1643,0.1932938856015779
1263/1759,1263,1759,0.006691449814126394
1263/427,1263,427,0.014150943396226415
1263/1640,1263,1640,0.4217289719626168
1263/1758,1263,1758,0.16187739463601533
1263/1761,1263,1761,0.11690821256038647
1263/1262,1263,1262,0.48266423357664234
571/1295,571,1295,0.06872370266479663
571/1452,571,1452,0.020850708924103418
938/936,938,936,0.05070993914807302
938/615,938,615,0.07502930832356389
2860/2863,2860,2863,0.037815126050420166
2860/754,2860,754,0.20790378006872853
1173/1540,1173,1540,0.20873269435569755
1173/17,1173,17,0.0196078431372549
1222/1220,1222,1220,0.01079447322970639
1903/793,1903,793,0.08913649025069638
1903/1148,1903,1148,0.021220159151193633
670/1137,670,1137,0.01924557351809084
670/1924,670,1924,0.0121765601217656
670/525,670,525,0.03686982693754703
1601/1757,1601,1757,0.03441011235955056
1601/1856,1601,1856,0.07027406886858749
1601/2249,1601,2249,0.018422991893883568
1601/1564,1601,1564,0.040075140889167186
1631/672,1631,672,0.043555555555555556
1631/1963,1631,1963,0.0784313725490196
1631/754,1631,754,0.09672262190247802
1631/703,1631,703,0.24103419516263552
1431/52,1431,52,0.11098779134295228
1161/1850,1161,1850,0.05493273542600897
1161/1048,1161,1048,0.05606407322654462
1161/1218,1161,1218,0.153125
1161/19,1161,19,0.07911001236093942
588/680,588,680,0.11318989710009354
1550/83,1550,83,0.30124777183600715
1182/1811,1182,1811,0.05546995377503852
1182/2995,1182,2995,0.037037037037037035
2396/2897,2396,2897,0.08737864077669903
2396/1433,2396,1433,0.06380857427716849
2396/1665,2396,1665,0.12698412698412698
1340/1577,1340,1577,0.030978934324659233
1340/1460,1340,1460,0.04177545691906005
1335/250,1335,250,0.1580056179775281
1335/1424,1335,1424,0.012236906510034264
1335/630,1335,630,0.004601226993865031
1335/679,1335,679,0.009400705052878966
1335/704,1335,704,0.01440922190201729
760/757,760,757,0.010227272727272727
760/1966,760,1966,0.009814612868047983
760/2604,760,2604,0.014354066985645933
760/1917,760,1917,0.022727272727272728
1327/1984,1327,1984,0.9966777408637874
1327/1985,1327,1985,0.7566585956416465
1327/1272,1327,1272,0.061068702290076333
1327/1217,1327,1217,0.01868188894654904
1327/2254,1327,2254,0.030120481927710843
1327/2255,1327,2255,0.07485380116959064
1390/1292,1390,1292,0.16374269005847952
1390/1293,1390,1293,0.14387633769322236
1390/161,1390,161,0.02711864406779661
1390/134,1390,134,0.08791208791208792
2334/2887,2334,2887,0.5064599483204134
666/947,666,947,0.019364833462432222
666/948,666,948,0.2837951301427372
666/731,666,731,0.01701837985023826
666/658,666,658,0.0047694753577106515
666/1474,666,1474,0.01310272536687631
1067/1818,1067,1818,0.11808118081180811
1067/1068,1067,1068,0.02132701421800948
444/2648,444,2648,0.12755102040816327
1540/17,1540,17,0.12198795180722892
1021/1616,1021,1616,0.015267175572519083
1021/332,1021,332,0.0698005698005698
1135/2133,1135,2133,0.038876889848812095
1135/354,1135,354,0.010273972602739725
910/1494,910,1494,0.01053324555628703
858/960,858,960,0.053500660501981503
1643/1640,1643,1640,0.2096069868995633
1643/1262,1643,1262,0.35027027027027025
1643/1759,1643,1759,0.04206008583690987
1643/1761,1643,1761,0.07424593967517401
1643/1758,1643,1758,0.04114285714285714
1643/1642,1643,1642,0.10012360939431397
1643/1063,1643,1063,0.07804878048780488
765/695,765,695,0.018740629685157422
765/2017,765,2017,0.0667361835245047
1002/1945,1002,1945,0.2053388090349076
2985/2936,2985,2936,0.10204081632653061
721/1645,721,1645,0.3028009084027252
721/1326,721,1326,0.041254125412541254
721/1485,721,1485,0.05724299065420561
721/1246,721,1246,0.016722408026755852
721/2094,721,2094,0.18652849740932642
721/193,721,193,0.1488095238095238
1359/1752,1359,1752,0.018628912071535022
1359/884,1359,884,0.10683760683760683
1359/1119,1359,1119,0.30349013657056145
2022/1711,2022,1711,0.0502092050209205
2022/1458,2022,1458,0.008181818181818182
2022/1410,2022,1410,0.032114183764495985
2022/9,2022,9,0.01675977653631285
2022/304,2022,304,0.018404907975460124
2022/1003,2022,1003,0.04504504504504504
2022/1275,2022,1275,0.011138613861386138
424/1200,424,1200,0.08124373119358075
424/1554,424,1554,0.032114183764495985
424/426,424,426,0.13250517598343686
619/634,619,634,0.041631265930331354
619/1153,619,1153,0.05536723163841808
619/620,619,620,0.034530386740331494
265/1318,265,1318,0.06597938144329897
265/1514,265,1514,0.21072319201995013
392/2137,392,2137,0.030303030303030304
789/1554,789,1554,0.03431372549019608
789/302,789,302,0.08148893360160966
789/194,789,194,0.024485798237022526
789/1644,789,1644,0.018369690011481057
789/930,789,930,0.025513819985825654
789/683,789,683,0.4866810655147588
789/1032,789,1032,0.08579088471849866
178/1424,178,1424,0.049061175045427015
178/269,178,269,0.40706476030277544
178/156,178,156,0.045556805399325086
2526/2976,2526,2976,0.04456824512534819
2526/202,2526,202,0.4610655737704918
799/981,799,981,0.02134927412467976
799/1673,799,1673,0.021422450728363324
799/1277,799,1277,0.04688995215311005
2466/1679,2466,1679,0.04194630872483222
348/655,348,655,0.14382022471910114
1123/1210,1123,1210,0.01644736842105263
1123/1087,1123,1087,0.14666666666666667
2897/1433,2897,1433,0.01139240506329114
2897/2875,2897,2875,0.6080402010050251
2897/2879,2897,2879,0.04245283018867924
2897/1665,2897,1665,0.05517241379310345
1672/2001,1672,2001,0.05953827460510328
812/255,812,255,0.2952755905511811
812/1072,812,1072,0.0845442536327609
2959/2973,2959,2973,0.12195121951219512
2959/362,2959,362,0.042440318302387266
275/1767,275,1767,0.0400890868596882
275/291,275,291,0.7745241581259151
275/285,275,285,0.03793626707132018
275/763,275,763,0.016914749661705007
1651/1735,1651,1735,0.007234726688102894
731/1401,731,1401,0.027885360185902403
731/404,731,404,0.06766917293233082
731/948,731,948,0.03424178895877009
442/1380,442,1380,0.05432937181663837
1642/1618,1642,1618,0.0316055625790139
1642/173,1642,173,0.0591016548463357
1642/1063,1642,1063,0.9504563233376793
1642/1619,1642,1619,0.129366106080207
1642/1357,1642,1357,0.05141657922350472
3002/1426,3002,1426,0.059602649006622516
1291/445,1291,445,0.17585848074921956
1291/1482,1291,1482,0.016909347111319868
1291/1686,1291,1686,0.045454545454545456
1291/805,1291,805,0.027190332326283987
1291/1681,1291,1681,0.029411764705882353
297/430,297,430,0.0128
297/2004,297,2004,0.17476732161323683
1398/1624,1398,1624,0.009968847352024923
1112/1990,1112,1990,0.03747072599531616
1596/1472,1596,1472,0.17385057471264367
1596/336,1596,336,0.39858490566037735
1596/1012,1596,1012,0.3617363344051447
1264/2857,1264,2857,0.04871447902571042
1098/1812,1098,1812,0.012345679012345678
1098/1210,1098,1210,0.02044153720359771
1098/21,1098,21,0.009230769230769232
1098/357,1098,357,0.03225806451612903
1098/1506,1098,1506,0.5747126436781609
1098/1420,1098,1420,0.05802357207615594
2990/2468,2990,2468,0.07716049382716049
2990/2951,2990,2951,1.3256880733944953
1219/620,1219,620,0.13399778516057587
1219/730,1219,730,0.027888446215139442
443/1205,443,1205,0.007819287576020852
1545/383,1545,383,0.1394700139470014
1545/1782,1545,1782,0.018161180476730987
1545/791,1545,791,0.01592920353982301
845/1417,845,1417,0.38110236220472443
845/127,845,127,0.0324254215304799
504/724,504,724,0.044064748201438846
504/709,504,709,0.22631166797180893
504/1929,504,1929,0.9084588644264194
504/1410,504,1410,0.1763085399449036
504/1536,504,1536,0.03377110694183865
2880/987,2880,987,0.03462603878116344
2880/1766,2880,1766,0.0906515580736544
2880/570,2880,570,0.04819277108433735
1145/1399,1145,1399,0.027262813522355506
1145/2962,1145,2962,0.2879045996592845
1145/624,1145,624,0.018925056775170326
586/736,586,736,0.02385496183206107
586/212,586,212,0.2342177493138152
586/652,586,652,0.008364312267657992
714/797,714,797,0.025622775800711744
714/1248,714,1248,0.012394645513138325
714/1507,714,1507,0.05701254275940707
714/191,714,191,0.058931860036832415
225/224,225,224,0.04265402843601896
2974/2939,2974,2939,0.28444444444444444
366/320,366,320,0.47717231222385864
968/644,968,644,0.030612244897959183
2157/1267,2157,1267,0.012145748987854251
2157/2249,2157,2249,0.054878048780487805
2157/1400,2157,1400,0.026706231454005934
185/1143,185,1143,0.10031347962382445
185/334,185,334,0.04950495049504951
185/859,185,859,0.26242236024844723
185/221,185,221,0.017642907551164433
1759/427,1759,427,0.011538461538461539
1759/1640,1759,1640,0.008858267716535433
1759/1758,1759,1758,0.14225589225589225
1759/1262,1759,1262,0.11510791366906475
916/1850,916,1850,0.0156794425087108
2470/1426,2470,1426,0.040453074433656956
957/1110,957,1110,0.017013232514177693
1218/1048,1218,1048,0.02129471890971039
1218/343,1218,343,0.08710801393728224
1218/19,1218,19,0.09049773755656108
1939/1675,1939,1675,0.08263069139966273
655/1372,655,1372,0.09057971014492754
1639/404,1639,404,0.12577639751552794
1639/941,1639,941,0.030828516377649325
796/1402,796,1402,0.460431654676259
796/154,796,154,0.3652597402597403
796/635,796,635,0.016293279022403257
1446/1778,1446,1778,0.018782870022539443
1446/695,1446,695,0.05149330587023687
1446/1387,1446,1387,0.2554278416347382
1446/581,1446,581,0.027420257414661444
1534/1286,1534,1286,0.1095890410958904
1825/621,1825,621,0.008746355685131196
1314/1624,1314,1624,0.02723146747352496
1314/1338,1314,1338,0.0392156862745098
1314/48,1314,48,0.382010582010582
1314/258,1314,258,0.11737089201877934
594/2954,594,2954,0.21548821548821548
594/779,594,779,0.23769338959212377
319/1421,319,1421,0.012965964343598054
819/1223,819,1223,0.030098280098280097
819/1991,819,1991,0.06711409395973154
819/1251,819,1251,0.5594781273983116
819/804,819,804,0.08944543828264759
1482/1257,1482,1257,0.011693171188026192
1482/1994,1482,1994,0.006306937631394534
1482/1673,1482,1673,0.012077294685990338
1482/172,1482,172,0.006139154160982265
1301/980,1301,980,0.018953752843062926
1301/803,1301,803,0.021910604732690624
1301/1389,1301,1389,0.021026072329688814
1301/710,1301,710,0.024630541871921183
1301/1297,1301,1297,0.6520958083832336
1301/498,1301,498,0.007407407407407408
1301/318,1301,318,0.07219251336898395
627/358,627,358,0.03902439024390244
