id,node_a,node_b,weight
1690/1938,1690,1938,0.018369690011481057
1690/933,1690,933,0.14395229982964225
1690/736,1690,736,0.03293687099725526
895/112,895,112,0.05861244019138756
1250/2009,1250,2009,0.012987012987012988
1250/1891,1250,1891,0.09580838323353294
1204/629,1204,629,0.2535087719298246
1204/763,1204,763,0.47729852440408627
1204/2373,1204,2373,0.07692307692307693
1204/598,1204,598,0.07417582417582418
1204/266,1204,266,0.04919678714859438
1204/580,1204,580,0.05512489233419466
1224/1744,1224,1744,0.007246376811594203
1224/1223,1224,1223,0.012748597654258032
1391/930,1391,930,0.3
1391/1300,1391,1300,0.0677257525083612
1442/2880,1442,2880,0.05409974640743871
1442/570,1442,570,0.019561815336463225
1442/1928,1442,1928,0.10889175257731959
1442/1602,1442,1602,0.005754475703324808
1442/1766,1442,1766,0.005428226779252111
1442/568,1442,568,0.01554726368159204
1180/1179,1180,1179,0.0968054211035818
1227/1803,1227,1803,0.12070410729253982
1227/1775,1227,1775,0.0891089108910891
1227/745,1227,745,0.09818181818181818
1227/2952,1227,2952,0.06260869565217392
1211/169,1211,169,1.4318181818181819
1211/1834,1211,1834,2.0948275862068964
1211/817,1211,817,0.006939090208172706
1211/78,1211,78,0.0472972972972973
1211/1214,1211,1214,0.01627670396744659
1211/262,1211,262,0.42470588235294116
640/1585,640,1585,0.031856645097063215
640/1399,640,1399,0.5530973451327433
640/1145,640,1145,0.0993431855500821
640/1228,640,1228,0.019672131147540985
640/1230,640,1230,0.013819789939192924
1331/820,1331,820,0.11507479861910241
1331/1344,1331,1344,0.08617021276595745
1331/1502,1331,1502,0.03138622493461203
1331/1345,1331,1345,0.2997658079625293
337/1071,337,1071,0.047872340425531915
337/1302,337,1302,0.26716141001855287
337/338,337,338,0.018367346938775512
337/409,337,409,0.05605381165919283
1543/598,1543,598,0.17349397590361446
1208/2009,1208,2009,0.004482071713147411
1848/1423,1848,1423,0.14626865671641792
1848/579,1848,579,0.14218566392479437
1829/1441,1829,1441,0.09130199891950297
1829/1879,1829,1879,0.014671361502347418
1829/365,1829,365,0.008302583025830259
1829/1519,1829,1519,0.024161073825503355
2964/2961,2964,2961,0.4484304932735426
2964/2060,2964,2060,0.053691275167785234
2964/2937,2964,2937,0.03879310344827586
1511/1318,1511,1318,0.157429718875502
1511/265,1511,265,0.025614754098360656
1511/1514,1511,1514,0.11152073732718894
2457/2252,2457,2252,0.05480984340044743
2457/667,2457,667,0.1859185918591859
2457/318,2457,318,0.03937007874015748
1905/1185,1905,1185,0.05438401775804662
1905/307,1905,307,0.1537761601455869
690/1606,690,1606,0.03582089552238806
690/1326,690,1326,0.042662116040955635
690/742,690,742,0.04580152671755725
690/1632,690,1632,0.034482758620689655
690/721,690,721,0.07413010590015129
690/1485,690,1485,0.09712230215827339
690/2094,690,2094,0.047493403693931395
690/834,690,834,0.07685009487666034
690/670,690,670,0.01849112426035503
2940/1567,2940,1567,0.03498542274052478
166/1228,166,1228,0.10263720598717035
166/1300,166,1300,0.07079646017699115
166/965,166,965,0.06630581867388363
166/2159,166,2159,0.03753753753753754
166/1632,166,1632,0.02247191011235955
166/626,166,626,0.19560185185185186
166/723,166,723,0.008893280632411068
405/1761,405,1761,0.01867219917012448
405/1760,405,1760,0.018072289156626505
405/427,405,427,0.12
405/1640,405,1640,0.028938906752411574
405/1262,405,1262,0.02888086642599278
405/1759,405,1759,0.0319693094629156
405/1758,405,1758,0.05091649694501019
405/1263,405,1263,0.025039123630672927
25/1230,25,1230,0.024896265560165973
2136/777,2136,777,0.24870466321243523
2136/1393,2136,1393,0.042105263157894736
2136/1305,2136,1305,0.018367346938775512
174/101,174,101,0.07314285714285715
2118/618,2118,618,0.024154589371980676
2118/2125,2118,2125,0.04013377926421405
2118/1753,2118,1753,0.039647577092511016
1760/1643,1760,1643,0.055745164960182024
1760/1759,1760,1759,0.020815986677768527
1760/1263,1760,1263,0.023651844843897825
1760/427,1760,427,0.07331975560081466
1760/1640,1760,1640,0.034340659340659344
1760/1758,1760,1758,0.009868421052631578
1760/1063,1760,1063,0.029171528588098017
1760/1761,1760,1761,0.6004540295119183
1760/1262,1760,1262,0.12525879917184266
1363/2995,1363,2995,0.13368983957219252
1363/1623,1363,1623,0.039119804400977995
1363/1811,1363,1811,0.38481675392670156
1363/1307,1363,1307,0.35335689045936397
1363/1182,1363,1182,0.02056555269922879
1363/1599,1363,1599,0.23457792207792208
1363/1115,1363,1115,0.03536345776031434
1363/1346,1363,1346,0.05951506245407789
2948/689,2948,689,0.05387205387205387
2948/3006,2948,3006,0.22685185185185186
2948/2978,2948,2978,0.555045871559633
2135/1869,2135,1869,0.014336917562724014
2135/1571,2135,1571,0.05920444033302498
2135/1264,2135,1264,0.3157894736842105
862/717,862,717,0.023169601482854494
862/146,862,146,0.009625668449197862
2898/1711,2898,1711,0.027303754266211604
2898/1458,2898,1458,0.025906735751295335
1962/2102,1962,2102,0.014729950900163666
1190/1136,1190,1136,0.2807017543859649
1447/2896,1447,2896,0.011825572801182557
1447/1003,1447,1003,0.023225806451612905
1447/582,1447,582,0.09504950495049505
1447/692,1447,692,0.013297872340425532
1447/1571,1447,1571,0.04231974921630094
1447/718,1447,718,0.026967528893780957
1447/884,1447,884,0.02321083172147002
1447/196,1447,196,0.035430224150397684
1447/2575,1447,2575,0.021595680863827234
1447/998,1447,998,0.023728813559322035
1447/1277,1447,1277,0.03230691569914185
1664/1970,1664,1970,0.04342581423401689
1664/1844,1664,1844,0.030229746070133012
753/1038,753,1038,0.061712846347607056
1524/1639,1524,1639,0.1408695652173913
1524/941,1524,941,0.04336043360433604
1524/404,1524,404,0.2028397565922921
1524/731,1524,731,0.019313304721030045
1831/1409,1831,1409,0.12883744338198289
1831/7,1831,7,0.032732130928523714
1831/694,1831,694,0.02498265093684941
1831/719,1831,719,0.5714285714285714
1469/1700,1469,1700,0.013574660633484163
1469/1699,1469,1699,0.11929307805596466
1712/1939,1712,1939,0.038461538461538464
1712/1675,1712,1675,0.01639344262295082
2972/2374,2972,2374,0.11920529801324503
1592/1402,1592,1402,0.18851174934725848
539/1663,539,1663,0.015822784810126583
2906/1445,2906,1445,0.012048192771084338
2906/1444,2906,1444,0.036
489/832,489,832,0.008166969147005444
419/1292,419,1292,0.04934541792547835
419/45,419,45,0.05458515283842795
1378/1302,1378,1302,0.009857612267250822
411/1530,411,1530,0.04771178188899708
