EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
1910,906,1,1,2
1910,1803,1,1,1
1910,1085,1,1,1
1910,112,1,1,1
1910,1423,1,1,1
1910,1429,1,1,1
1910,416,1,1,1
1910,1210,1,3,3
1910,191,1,1,1
1910,1220,1,1,1
1910,2131,1,1,1
1910,1538,1,1,1
1910,1047,1,2,2
1910,281,1,1,1
1910,392,1,1,1
1910,95,1,1,1
1910,1576,1,1,1
1910,581,1,1,1
1910,277,1,2,2
1910,684,1,1,1
1910,1689,1,1,1
1910,1103,1,1,1
897,1904,1,1,1
897,1401,4,4,4
897,1329,1,1,1
897,1585,1,1,1
897,155,1,1,1
897,1487,1,1,1
897,1346,1,1,1
897,1660,1,1,1
897,509,1,1,1
897,797,1,1,1
897,228,1,1,1
897,7,1,1,1
897,1606,1,1,1
897,708,1,1,1
897,156,1,1,1
897,319,2,2,2
897,1664,1,1,1
897,948,1,1,1
897,162,1,1,1
897,489,1,1,1
897,1127,1,1,1
897,1447,1,1,1
897,1405,1,2,2
897,700,1,1,1
897,1088,2,2,2
897,1917,1,1,1
897,1278,1,1,1
897,692,1,1,1
897,963,1,1,1
897,1729,1,1,1
897,1453,1,1,1
897,1775,1,1,1
897,1420,1,1,1
897,808,1,1,1
897,1441,1,1,1
897,1336,1,1,1
897,1432,1,1,1
897,1280,1,1,1
897,1209,1,2,2
897,1046,1,1,1
897,1845,1,1,1
897,225,1,1,1
897,765,1,1,1
897,998,1,1,1
897,1819,1,1,1
897,138,1,1,1
897,1384,1,1,1
897,376,1,1,1
897,1217,1,1,1
1699,1430,1,1,1
1699,633,2,5,5
1699,1010,1,1,1
1699,1469,8,10,10
1699,962,1,1,1
305,1586,1,1,1
305,170,1,1,1
305,1496,3,3,3
305,375,1,1,1
305,1669,3,3,3
305,1619,1,1,1
305,1383,4,4,5
305,1617,1,1,1
305,377,1,1,1
305,1202,1,1,1
305,1618,1,1,1
305,1272,1,1,1
1069,1923,1,1,1
1069,874,1,1,1
1069,956,1,1,1
1069,1455,1,1,1
1069,618,1,1,1
1069,1487,1,1,1
1069,1085,1,1,1
1069,141,1,1,1
1069,1519,1,1,1
1069,670,1,1,1
1069,1483,1,1,1
1069,1220,1,1,1
1069,793,1,1,1
1069,139,1,2,2
1069,356,1,1,1
1069,580,1,1,1
1069,27,1,1,1
1069,189,1,1,1
1069,502,1,1,1
1069,602,1,1,1
1069,1399,1,1,1
1069,1275,1,1,1
1069,161,1,1,1
1069,1731,1,1,1
1069,345,4,5,5
1069,2021,1,1,1
2249,1246,4,4,4
2249,1509,1,1,1
2249,1977,1,1,1
2249,2133,1,1,1
2249,1234,1,1,1
2249,1313,1,1,1
2249,1210,1,1,1
2249,1961,1,1,1
2249,1226,1,1,1
2249,1681,1,1,1
2249,882,1,1,1
2249,1394,1,1,1
2249,1052,2,2,2
2249,1241,2,2,2
2249,1095,1,2,2
2249,629,1,1,1
2249,16,1,1,1
2249,1278,1,1,1
2249,1256,1,1,1
2249,763,1,1,1
2249,1092,1,1,1
2249,352,1,1,1
2249,1601,4,4,4
2249,808,1,2,2
2249,1134,1,1,1
2249,485,1,1,1
2249,193,6,7,10
2249,923,1,1,1
2249,1398,1,1,1
2249,1860,1,1,1
2249,711,1,1,1
2249,1633,4,4,4
2249,1267,21,23,25
2249,1370,1,1,1
2249,686,1,1,1
2249,1624,1,1,1
2249,1468,1,1,1
2249,1062,1,1,1
2249,1839,1,1,1
2249,834,1,1,1
2249,1404,1,1,1
2249,643,1,1,1
2249,358,1,1,1
2249,1616,1,1,1
2133,1593,1,1,1
2133,1401,2,2,2
2133,1769,1,1,1
2133,1507,1,1,1
2133,783,1,1,1
2133,404,1,1,1
2133,270,1,1,1
2133,2132,1,1,1
2133,1226,1,1,1
2133,1011,1,1,1
2133,1394,1,1,1
2133,752,1,1,1
2133,127,1,1,1
2133,1557,1,1,1
2133,987,1,1,1
2133,1494,1,2,2
2133,730,1,1,1
2133,930,1,1,1
2133,1840,1,1,1
2133,1157,1,1,1
2133,1447,1,2,2
2133,1437,1,1,1
2133,161,1,1,1
2133,1172,7,9,10
2133,1523,1,1,1
2133,1092,1,1,1
2133,1892,2,2,2
2133,1325,1,1,1
2133,1417,9,13,13
2133,838,1,1,1
2133,1729,1,1,1
2133,1387,1,1,1
2133,937,2,2,2
2133,241,1,1,1
2133,183,1,1,1
2133,329,1,1,1
2133,2017,1,1,1
2133,1236,1,1,1
2133,923,1,1,1
2133,1336,2,2,2
2133,1423,6,8,8
2133,1280,1,1,1
2133,1215,1,1,1
2133,1607,1,1,1
2133,1361,1,1,1
2133,1432,2,3,3
2133,225,1,1,1
2133,765,1,1,1
2133,285,9,10,10
2133,1890,1,1,1
2133,1819,1,1,1
2133,702,1,1,1
2133,361,1,1,1
2133,876,1,1,1
2133,1587,1,1,1
2133,1550,1,1,1
2133,1470,1,1,1
2133,93,1,1,1
2133,1382,1,1,1
2133,355,1,1,1
2133,1135,6,9,9
2133,274,1,1,1
2133,1690,1,1,1
2133,782,1,1,1
2133,190,3,4,4
2133,280,1,1,1
2133,994,1,1,1
2133,1455,1,1,1
2133,44,1,1,1
2133,1360,1,1,1
2133,1262,1,1,1
2133,681,1,1,1
2133,1519,1,1,1
2133,718,1,1,1
2133,722,4,4,7
2133,1014,1,1,1
2133,1681,1,1,1
2133,175,2,2,2
2133,1049,1,1,1
2133,845,2,2,2
2133,390,2,2,2
2133,1543,1,1,1
2133,1418,1,1,1
2133,502,1,1,1
2133,1261,1,1,1
2133,365,1,1,1
2133,1052,1,1,1
2133,1917,1,1,1
2133,180,1,1,1
2133,1033,3,3,3
2133,808,1,1,1
2133,155,2,2,2
2133,1453,1,1,1
2133,1596,1,1,1
2133,1008,1,1,1
2133,1456,3,3,3
2133,1481,3,4,4
2133,579,1,1,1
2133,793,1,1,1
2133,168,1,1,1
2133,2252,1,1,1
2133,953,1,1,1
2133,1806,1,1,1
2133,1789,1,1,1
2133,779,1,1,1
2133,354,18,34,34
2133,998,1,1,1
2133,667,1,1,1
2133,2575,2,2,3
2133,680,1,1,1
2133,1820,1,1,1
2133,1458,1,1,1
2133,1450,1,1,1
2133,951,1,1,1
2133,694,1,1,1
2133,1248,1,1,1
2133,1743,1,1,1
2133,288,1,1,1
2133,946,1,1,1
2133,1531,1,1,1
2133,1434,2,3,3
2133,748,1,1,1
425,1442,1,1,1
425,1186,3,3,3
425,1387,1,1,1
425,1448,1,3,3
425,1048,1,1,1
425,980,1,1,1
425,1446,1,1,1
425,1529,2,2,2
425,1784,1,1,1
425,485,1,1,1
425,1928,3,10,11
425,1526,1,1,1
425,1468,1,1,1
425,1225,1,1,1
425,244,1,1,1
425,156,1,1,1
425,1437,1,3,3
425,357,1,1,1
425,1209,1,1,1
425,1660,1,1,1
425,477,10,19,22
425,1963,1,1,1
425,275,1,1,1
425,671,1,1,1
425,1170,1,2,2
425,987,2,2,2
425,652,1,1,1
425,701,7,15,16
425,1390,1,1,1
425,702,1,1,1
425,1536,1,1,1
425,754,1,1,1
425,1452,1,1,1
425,1564,1,1,1
425,1524,1,1,1
425,404,1,1,1
425,1922,1,1,1
425,129,1,1,1
425,418,3,3,3
425,2021,1,2,2
425,83,1,1,1
425,1639,1,1,1
425,1828,1,1,1
1635,1408,17,25,25
1635,1079,3,3,3
1635,1410,1,1,1
1635,1929,1,1,1
1635,117,1,1,1
1635,1090,1,1,1
1635,1369,1,1,1
1635,1085,5,5,5
1635,706,1,1,1
1635,686,1,1,1
1635,421,1,1,1
1635,1309,1,1,1
1635,257,1,1,1
1635,1209,1,1,1
1635,1913,1,1,2
1635,715,1,1,1
1635,956,1,1,1
1635,1456,1,1,1
1635,369,1,1,1
1635,998,1,1,1
1635,1890,10,14,14
1635,2575,1,1,1
1635,163,1,1,1
1635,1674,1,1,1
1635,1608,18,28,29
1635,1536,7,9,9
1635,694,1,1,1
1635,100,2,2,2
1635,1107,1,1,1
1635,1696,2,2,2
1635,2022,3,15,15
1635,1380,1,1,1
1635,1275,4,4,4
1635,1752,1,1,1
1635,21,2,2,2
1635,1587,1,1,1
1635,748,1,1,1
1635,14,1,1,1
1635,1429,1,1,1
1259,424,1,1,1
1259,203,11,18,21
1259,1917,1,1,1
1259,621,1,1,1
1259,426,1,1,1
1259,634,1,1,1
1259,1732,1,1,1
1259,781,1,1,1
1259,1526,1,1,1
1259,757,1,1,1
1259,1152,1,1,1
1259,1794,1,1,1
1259,1087,1,1,1
1259,1226,1,1,1
1259,148,1,1,1
1259,1200,2,2,2
1259,843,1,1,1
1259,1199,2,2,2
1259,194,1,1,1
1259,2259,1,1,1
1259,1596,1,1,1
1527,763,1,1,1
1527,580,1,1,1
1527,629,1,1,1
1527,311,2,2,2
1527,1744,1,1,1
1941,579,1,1,1
1941,1203,1,1,1
1941,656,2,2,2
1941,1669,1,1,1
1941,383,1,1,1
1941,3,2,2,2
1941,1940,2,2,2
1941,1372,1,1,1
1941,1561,14,21,23
1941,255,1,1,1
1342,1509,1,1,1
1342,933,1,1,1
1342,1808,1,1,1
1342,1537,4,5,5
1342,1418,1,1,1
1342,977,1,1,1
1342,618,1,1,1
1342,1226,11,16,16
1342,615,1,1,1
1342,994,2,2,2
1342,1155,1,1,1
1342,1276,4,4,4
1342,611,1,3,3
1342,938,1,1,1
1342,892,1,1,1
1342,1286,1,1,1
1342,1789,2,3,3
1342,1471,1,1,1
1342,1643,1,1,1
1342,1323,1,1,1
1342,1353,1,1,1
1342,1524,1,1,1
1342,1906,1,1,1
1342,1343,1,1,1
1275,1246,1,1,1
1275,386,1,1,1
1275,974,1,1,1
1275,1455,1,1,1
1275,1115,1,1,1
1275,1224,1,2,2
1275,716,1,1,1
1275,1596,1,1,1
1275,371,1,1,1
1275,1711,2,2,2
1275,1689,1,1,1
1275,107,1,1,1
1275,390,1,1,1
1275,657,2,2,2
1275,708,1,1,1
1275,1939,1,1,1
1275,1675,2,11,11
1275,157,1,1,1
1275,163,1,1,1
1275,85,2,3,3
1275,7,1,1,1
1275,501,1,1,1
1275,1631,1,1,1
1275,333,1,1,1
1275,1749,1,1,1
1275,1623,2,2,2
1275,718,3,3,3
1275,1278,1,1,1
1275,180,1,1,1
1275,581,1,1,1
1275,1102,1,1,1
1275,1831,1,1,1
1275,1729,1,1,1
1275,1917,1,1,1
1275,1869,2,2,2
1275,345,1,1,1
1275,212,1,1,1
1275,218,1,1,1
1275,706,1,1,1
1275,1470,1,1,1
1275,1309,2,3,3
1275,1897,1,1,1
1275,1209,1,1,1
1275,1806,1,1,1
1275,626,1,1,1
1275,1816,1,1,1
1275,1028,1,1,1
1275,1128,1,1,1
1275,1072,1,1,1
1275,1458,3,3,3
1275,2022,3,3,3
1275,1611,1,1,1
1275,1671,1,1,1
1275,1743,1,1,1
1275,2135,1,1,1
1275,1828,2,2,2
760,204,1,1,1
760,1246,1,1,1
760,1346,1,1,1
760,1866,1,1,1
760,1109,1,1,1
760,1767,1,1,1
760,208,1,1,1
760,803,3,3,3
760,759,1,1,1
760,1496,1,1,1
760,796,1,1,1
760,330,1,1,1
760,928,1,1,1
760,1531,1,1,1
760,1371,1,1,1
760,1648,1,1,1
760,1598,1,1,1
760,1229,1,1,1
760,1903,1,1,1
760,1515,1,1,1
760,1966,2,2,2
760,102,1,1,1
760,1938,1,1,1
760,1071,2,2,2
760,1294,1,1,1
760,337,1,3,3
760,1624,1,1,1
760,1333,1,1,1
760,1840,1,1,1
760,670,1,1,1
760,757,4,4,4
760,501,1,1,1
760,1489,1,1,1
760,333,1,1,1
760,1917,7,11,12
760,2012,1,1,1
760,981,1,1,1
760,1828,1,1,1
760,24,1,1,1
760,1169,1,1,1
760,710,1,1,1
486,1846,1,1,1
486,1306,1,1,1
486,301,1,1,1
486,899,1,1,1
486,1508,1,1,1
