EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
1218,1917,1,1,1
1218,304,1,1,1
1218,477,1,1,1
1218,1576,1,1,1
1218,333,1,1,1
1218,1627,1,1,1
1218,2265,1,1,1
1218,1623,1,1,1
1218,1648,1,1,1
1218,1269,1,1,1
1218,1711,1,1,1
1218,1577,1,1,1
1218,175,1,1,1
1218,343,11,15,16
1218,294,1,1,1
1218,700,1,1,1
1218,1567,2,2,2
1218,1447,1,1,1
1218,744,1,1,1
1218,1316,1,1,1
1218,674,1,1,1
1218,772,1,1,1
1218,1394,2,2,2
1218,1749,1,1,1
1218,232,1,1,1
1218,1217,1,1,1
1218,238,1,1,1
1218,19,10,11,11
1218,1376,1,1,1
1218,1507,1,1,1
1218,1172,1,1,1
1681,1303,1,1,1
1681,1398,1,1,1
1681,1410,2,2,2
1681,1901,1,2,2
1681,1886,1,1,1
1681,742,1,1,1
1681,1248,1,1,1
1681,1547,1,1,1
1681,2,1,1,1
1681,1770,1,1,1
1681,1450,1,1,1
1681,819,2,2,2
1681,816,1,1,1
1681,682,1,1,1
1681,1079,1,1,1
1681,1422,1,1,1
1681,214,1,1,1
1681,796,1,1,1
1681,1367,1,1,1
1681,1536,1,1,1
1681,1560,1,1,1
1681,1459,1,1,1
1681,502,1,1,1
1681,172,1,1,1
1681,731,1,1,1
1681,2249,1,1,1
1681,925,1,1,1
1681,234,1,1,1
1681,1791,1,1,1
1681,489,1,3,3
1681,804,1,1,1
1681,1667,1,1,1
1681,772,3,6,7
1681,960,1,1,1
1681,1084,1,1,1
1681,344,2,2,2
1681,10,1,1,1
1681,1093,6,18,18
1681,717,1,1,1
1681,191,1,1,1
1681,1480,3,3,3
1681,180,1,1,1
1681,1291,6,8,9
1681,285,1,1,1
1681,1176,3,6,9
1681,1333,1,1,1
1681,1833,1,1,1
1681,1482,1,1,1
1681,803,1,1,1
1681,108,1,1,1
1681,2133,1,1,1
1681,1745,10,12,12
1681,863,1,1,1
1834,735,1,1,2
1834,817,2,2,2
1834,592,1,1,1
1834,323,1,1,1
1834,749,1,1,1
1834,1211,18,21,27
1834,1621,1,1,1
1834,1461,2,2,2
1834,1301,1,1,1
1834,1371,1,1,1
1834,670,1,1,1
1834,262,19,23,25
1834,1393,1,1,1
1834,1039,1,1,1
1834,601,1,1,1
1834,1460,1,1,1
1834,169,14,17,20
1834,593,1,1,1
1834,78,1,1,1
1834,2118,1,1,1
1834,1215,1,1,1
1834,318,1,1,1
1834,410,1,1,1
1834,1853,1,1,1
1834,1297,1,1,1
1834,1280,1,1,1
1834,227,1,1,1
1061,1690,1,1,1
1061,1633,1,1,1
1061,1143,1,1,1
1061,1680,1,1,1
1061,951,2,10,10
1061,622,1,2,2
1061,1539,1,1,1
1061,1811,1,1,4
1061,1481,1,1,1
1061,1064,5,5,5
1061,1596,1,1,1
1061,772,1,1,1
1061,1185,1,1,1
1061,1363,1,1,4
1061,621,1,1,1
1061,1111,1,1,1
1061,1938,1,1,1
1061,1758,1,1,1
1061,1426,1,1,4
1061,1361,1,2,2
1061,933,1,1,1
1171,1408,1,1,1
1171,1631,1,1,1
1171,1604,1,1,1
1171,1375,1,1,1
1171,948,1,1,1
1171,158,1,1,1
1171,1268,1,1,1
1171,1608,1,1,1
1171,617,1,1,1
1171,636,1,1,1
1171,1162,1,1,1
1171,1857,1,1,1
1171,1374,1,1,1
1171,658,1,1,1
1171,1353,1,1,1
1171,634,1,1,1
1171,1944,1,1,1
1171,1383,1,1,1
1171,730,1,1,1
1171,2259,1,1,1
1171,1898,3,3,3
1171,1839,1,1,1
1171,666,1,1,1
1171,1343,1,1,1
1171,604,18,47,47
1171,1531,1,1,1
1171,1468,1,1,1
781,1175,1,1,1
781,1810,5,32,32
781,2138,1,1,1
