1818,1068,3,30,31
1818,1067,4,7,9
1818,861,3,4,4
1268,1725,2,2,2
1268,1404,1,1,1
1268,509,1,1,1
737,1428,3,5,6
737,1889,1,1,1
737,141,4,8,9
737,183,1,1,1
1784,643,1,1,1
1784,923,1,1,1
1784,1092,2,2,2
834,800,1,2,2
834,1745,2,2,2
1851,293,2,3,3
2263,2261,1,1,1
2263,1554,1,1,1
2263,1200,1,1,1
1682,1293,2,3,3
1682,1034,1,1,1
1682,161,2,2,2
1682,381,11,15,16
1682,1292,3,3,3
1682,1390,4,8,9
1682,1814,1,1,1
1682,1066,2,2,2
1682,134,10,21,23
763,580,2,2,2
763,1204,2,2,2
763,629,3,3,3
1428,141,2,3,3
1428,737,1,1,1
1639,404,2,2,2
1218,1161,4,4,4
2018,1774,2,5,5
690,1485,1,1,1
690,721,3,6,6
690,2094,1,1,1
168,27,2,2,2
168,1407,1,1,1
12,1225,13,22,22
12,952,1,1,1
12,1353,2,2,2
12,1323,2,2,2
12,1260,4,4,4
12,1343,12,16,16
12,892,2,6,6
1506,1098,1,2,2
1204,580,3,5,5
1204,763,9,20,20
1204,629,4,10,10
1204,266,1,1,1
412,692,3,11,11
412,43,3,12,12
412,700,6,63,64
412,414,2,9,9
412,413,2,8,8
412,702,2,2,2
412,1749,2,13,13
412,1448,1,1,1
412,694,1,4,4
412,2021,3,3,3
1382,64,1,1,1
83,1550,1,1,1
83,49,1,1,1
83,755,2,2,2
1339,1329,5,9,9
1339,729,3,4,4
1339,672,5,8,12
332,1616,8,10,10
332,1021,3,5,6
332,474,1,1,1
332,1622,1,1,1
332,1895,6,7,7
1859,492,13,22,23
1859,417,3,4,5
107,720,1,1,1
1676,1544,1,1,1
1676,418,1,1,1
1676,98,5,6,6
1676,1656,1,1,1
1841,1932,3,3,3
1841,1308,4,15,17
1841,1513,3,3,4
1841,1415,2,2,2
1660,485,4,5,6
1517,665,4,13,13
1517,942,1,1,1
640,1399,4,5,5
640,1228,4,5,5
640,626,1,1,1
1477,1997,2,2,2
1477,1940,2,3,3
784,617,1,1,3
23,60,1,2,2
23,605,2,2,2
23,1077,6,17,17
23,611,1,3,3
23,932,2,3,3
1618,1642,1,1,1
1618,1619,2,2,2
1618,1617,2,2,2
1618,1063,2,2,3
377,1884,2,2,2
377,584,1,1,1
377,785,2,3,3
964,1040,5,5,5
964,36,1,1,1
964,1201,3,6,6
964,189,6,9,9
964,580,5,5,5
1175,1388,2,3,3
1175,1973,1,3,3
1175,53,2,2,2
1648,356,1,1,1
416,1970,1,1,1
416,1844,2,3,3
1281,1072,5,6,7
611,605,3,6,6
155,1432,2,2,2
155,228,1,2,2
155,680,1,1,1
155,190,1,1,1
155,1437,1,1,1
2022,9,3,3,3
2022,1623,1,1,1
2022,1626,1,1,1
2022,1039,1,1,1
2022,1711,3,3,3
2022,1458,1,1,1
1566,951,3,3,3
727,1236,2,2,2
727,1235,4,4,4
727,1239,2,8,8
727,1237,3,3,3
343,1218,2,2,2
343,920,8,26,29
2132,1535,1,1,1
2132,1352,3,3,5
52,765,1,1,1
52,1909,3,3,3
327,326,2,2,2
890,1862,4,11,11
890,615,2,2,2
1215,1213,1,1,1
1592,1402,4,8,8
703,1376,4,4,4
703,1631,3,3,4
476,481,1,1,1
476,1530,1,1,1
258,1338,3,3,3
258,1314,7,10,10
258,48,2,2,2
166,1399,1,1,1
166,1228,5,7,7
166,1632,3,3,3
166,965,2,3,3
166,1300,1,2,2
166,626,5,13,13
365,1441,1,1,1
1421,1401,2,2,2
1992,1198,5,18,18
1992,2023,1,3,3
2004,430,1,1,1
2004,1113,1,1,2
2004,297,6,9,11
2004,1470,2,2,2
2249,1267,1,1,1
195,292,4,6,6
60,605,2,2,2
60,1077,2,2,2
60,611,1,3,3
60,932,2,2,2
1029,917,2,2,2
358,627,1,1,1
358,621,2,9,10
89,1228,5,5,5
89,166,2,2,2
89,723,1,1,1
89,1632,1,1,1
89,965,1,1,1
89,1300,7,24,25
89,626,8,17,18
1416,987,2,3,3
1416,1422,1,1,1
1416,1579,1,1,1
1416,363,2,3,3
1296,1803,3,3,6
1296,1763,2,3,3
1296,184,1,1,1
1296,281,1,1,1
1296,745,1,1,1
1296,906,3,3,6
1915,287,1,1,1
1915,1740,2,5,6
1305,2136,1,2,2
1305,1124,1,1,1
1345,1344,1,1,1
1345,820,2,3,3
1345,1331,19,37,40
1345,1502,3,4,5
714,924,1,2,2
714,605,2,2,2
714,506,1,1,1
1170,1749,2,4,4
1170,702,6,21,23
1170,1448,4,11,12
1170,694,2,2,2
1170,2021,7,15,17
404,1524,1,3,3
404,1639,1,1,1
425,477,6,7,10
425,701,7,8,9
643,1784,4,7,7
1426,657,6,7,8
1426,1122,3,3,3
335,911,1,1,1
1065,539,6,10,10
1065,1663,3,3,3
1065,843,27,117,123
983,1818,5,13,13
983,484,2,2,2
983,1067,2,3,3
1849,234,6,12,12
1849,108,7,17,19
1593,711,1,1,1
1593,1203,1,1,1
1593,1406,2,3,3
1258,72,7,8,8
1133,889,1,1,1
1133,221,7,11,12
