EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
267,232,1,1,1
267,757,1,1,1
267,701,1,1,1
267,1430,1,1,1
267,730,1,1,1
267,1417,1,1,1
267,95,1,1,1
267,1011,1,1,1
267,1464,1,1,1
267,744,3,4,4
267,1392,3,3,4
267,2,1,1,1
267,343,1,1,1
267,1743,1,1,1
267,1456,1,1,1
267,761,1,1,1
267,1793,1,1,1
1275,2022,3,3,3
1275,657,2,2,2
1275,1470,1,1,1
1275,85,2,3,3
1275,333,1,1,1
1275,212,1,1,1
1275,390,1,1,1
1275,2135,1,1,1
1275,163,1,1,1
1275,1635,4,4,4
1275,1102,1,1,1
1275,1455,1,1,1
1275,581,1,1,1
1275,157,1,1,1
1275,1806,1,1,1
1275,345,1,1,1
1275,1675,2,11,11
1275,1729,1,1,1
1275,1897,1,1,1
1275,708,1,1,1
1275,716,1,1,1
1275,501,1,1,1
1275,1224,1,2,2
1275,1069,1,1,1
1275,1711,2,2,2
1275,1309,2,3,3
1275,1246,1,1,1
1275,218,1,1,1
1275,974,1,1,1
1275,1072,1,1,1
1275,1743,1,1,1
1275,1209,1,1,1
1275,1828,2,2,2
1275,1749,1,1,1
1275,1671,1,1,1
1275,7,1,1,1
1275,107,1,1,1
1275,1689,1,1,1
1275,1816,1,1,1
1275,718,3,3,3
1275,1611,1,1,1
1275,1028,1,1,1
1275,626,1,1,1
1275,1939,1,1,1
1275,1115,1,1,1
1275,1917,1,1,1
1275,1623,2,2,2
1275,706,1,1,1
1275,1869,2,2,2
1275,386,1,1,1
1275,1458,3,3,3
1275,1128,1,1,1
1275,180,1,1,1
1275,1596,1,1,1
1275,1278,1,1,1
1275,1631,1,1,1
1275,1831,1,1,1
1275,371,1,1,1
1475,862,1,1,1
1475,1091,1,1,1
1475,1767,1,1,1
1475,1641,1,1,1
1475,1982,1,1,1
1475,1821,10,57,57
1475,1355,1,3,3
1475,1243,1,1,1
1475,1927,1,1,1
1475,1348,1,1,1
1475,714,1,1,1
1475,666,1,1,1
1475,1484,1,1,1
1475,1469,1,5,5
1475,792,1,1,1
1475,64,1,1,1
1475,1441,2,2,2
1475,1850,1,1,1
1475,360,1,1,1
1475,772,1,1,1
1475,1493,1,1,1
1475,1450,1,1,1
1475,157,1,1,1
1475,323,1,1,1
1475,1871,1,1,1
1475,1600,1,1,1
1475,1729,1,1,1
1475,1385,1,1,1
1475,361,1,1,1
1475,383,1,1,1
1475,338,2,2,2
1475,1622,1,1,1
1475,1374,1,1,1
1475,636,1,1,1
1475,1426,1,1,1
1475,1623,1,1,1
1210,381,1,1,1
1210,1961,1,1,1
1210,2249,1,1,1
1210,1088,1,1,1
1210,1668,2,2,2
1210,1674,1,1,1
1210,906,1,2,4
1210,1098,5,5,5
1210,1244,2,3,3
1210,1326,1,1,1
1210,1313,1,1,1
1210,1486,1,1,1
1210,1783,1,1,1
1210,1939,1,1,1
1210,1702,1,2,2
1210,501,1,1,1
1210,923,1,1,1
1210,1847,1,1,1
1210,584,7,34,34
1210,2267,1,1,1
1210,1426,3,5,6
1210,683,1,1,1
1210,1910,1,3,3
1210,1123,5,8,8
1210,717,1,1,1
1210,1277,1,1,1
1210,808,1,1,1
1210,701,1,1,1
1210,1825,1,1,1
1210,1134,1,1,1
1210,1095,1,1,1
1210,281,2,3,3
1210,52,1,1,1
1210,2266,1,1,1
1210,302,1,1,1
