Identifier,Language_name,Language_ID,Family,Longitude,Latitude
chacobo_chac1251,Chácobo,chac1251,Panoan [pano1256],-66.71641,-12.13298
tuamotuan_tuam1242,Tuamotuan,tuam1242,Austronesian [aust1307],-140.6576,-21.70902
akhvakhnortherndialect_akhv1239,Akhvakh (Northern dialect),akhv1239,Nakh-Daghestanian [nakh1245],46.30369,42.40035
avestan_aves1237,Avestan,aves1237,Indo-European [indo1319],53.633,31.541
kildinsaami_kild1236,Kildin Saami,kild1236,Uralic [ural1272],35.83479,68.21579
muisca_chib1270,Muisca,chib1270,Chibchan [chib1249],-74.16665,6.24999
bulang2_blan1242,Bulang-2,blan1242,Austroasiatic [aust1305],99.74047333333334,22.009203333333332
otomi_mezq1235,Otomi,mezq1235,Otomanguean [otom1299],-99.55642,20.22745
polish_poli1260,Polish,poli1260,Indo-European [indo1319],18.625487,51.843923
danish_dani1285,Danish,dani1285,Indo-European [indo1319],9.36284,54.8655
lakarakuldialect_lakk1252,Lak (Arakul dialect),lakk1252,Nakh-Daghestanian [nakh1245],47.0809,42.13275
tsakhurgelmetsdialect_tsak1249,Tsakhur (Gelmets dialect),tsak1249,Nakh-Daghestanian [nakh1245],46.88585,41.59156
swahili_swah1253,Swahili,swah1253,Atlantic-Congo [atla1278],37.6240325,-8.2560525
dargwakadardialect_darg1241,Dargwa (Kadar dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
siriono_siri1273,Sirionó,siri1273,Tupian [tupi1275],-63.9688,-15.52979
hinuq_hinu1240,Hinuq,hinu1240,Nakh-Daghestanian [nakh1245],45.80638,42.45022
qeqchi_kekc1242,Q'eqchi',kekc1242,Mayan [maya1287],-89.24521,15.378796666666668
lengua_leng1262,Lengua,leng1262,Lengua-Mascoy [leng1261],-58.90528,-22.65586
ancientgreek_anci1242,Ancient Greek ,anci1242,Indo-European [indo1319],21.91293,39.8155
oldprussian_prus1238,Old Prussian,prus1238,Indo-European [indo1319],14.757,52.394
gothic_goth1244,Gothic,goth1244,Indo-European [indo1319],29.97861,46.9304
japanese_nucl1643,Japanese,nucl1643,Japonic [japo1237],135.0,35.0
tailu_luuu1242,Tai Lü,luuu1242,Tai-Kadai [taik1256],101.281582,21.032106000000002
selkup_selk1253,Selkup,selk1253,Uralic [ural1272],82.30036,59.94093
kumykdorgelidialect_kumy1244,Kumyk (Dorgeli dialect),kumy1244,Turkic [turk1311],47.0,43.0
khinalug_khin1240,Khinalug,khin1240,Nakh-Daghestanian [nakh1245],48.05714,41.18014
latin_lati1261,Latin,lati1261,Indo-European [indo1319],12.45021,41.90264
nunglazhai_guib1244,Nung-Lazhai,guib1244,Tai-Kadai [taik1256],107.18368,23.68182
mlabri_mlab1235,Mlabri,mlab1235,Austroasiatic [aust1305],101.162995,18.553345
mandarinchinese_mand1415,Mandarin Chinese,mand1415,Sino-Tibetan [sino1245],116.228026,40.020884
lakkia_lakk1238,Lakkia,lakk1238,Tai-Kadai [taik1256],110.1058,24.11692
dargwagapshimadialect_darg1241,Dargwa (Gapshima dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
godoberi_ghod1238,Godoberi,ghod1238,Nakh-Daghestanian [nakh1245],46.22524,42.74276
taikhun_khun1259,Tai Khün,khun1259,Tai-Kadai [taik1256],99.336285,19.60624
yanomami_yano1262,Yanomámi,yano1262,Yanomam [yano1260],-62.85224,2.48999
shan_shan1277,Shan,shan1277,Tai-Kadai [taik1256],98.03422333333333,21.599496666666667
akhvakhsoutherndialect_akhv1239,Akhvakh (Southern dialect),akhv1239,Nakh-Daghestanian [nakh1245],46.30369,42.40035
canela_cane1242,Canela,cane1242,Nuclear-Macro-Je [nucl1710],-45.1299,-6.10712
avararaderikhdialect_avar1256,Avar (Araderikh dialect),avar1256,Nakh-Daghestanian [nakh1245],46.55802,41.70474
persian_west2369,Persian,west2369,Indo-European [indo1319],55.15860714285714,28.65928285714286
yiddish_east2295,Yiddish,east2295,Indo-European [indo1319],19.42,51.75
chong_chon1284,Chong,chon1284,Austroasiatic [aust1305],102.51371499999999,12.52181
tacana_taca1256,Tacana,taca1256,Tacanan [taca1255],-68.04056,-13.39249
pilaga_pila1245,Pilagá,pila1245,Guaicuruan [guai1249],-60.15372,-25.00585
french_stan1290,French,stan1290,Indo-European [indo1319],2.0,48.0
movima_movi1243,Movima,movi1243,NAN,-65.63482,-13.81152
kalina_gali1262,Kali'na,gali1262,Cariban [cari1283],-56.832297999999994,5.837718000000001
portuguese_port1283,Portuguese,port1283,Indo-European [indo1319],-4.18815,42.03412
waiwai_waiw1244,Wai Wai,waiw1244,Cariban [cari1283],-59.14166,1.5088050000000002
finnish_finn1318,Finnish,finn1318,Uralic [ural1272],25.557669999999998,64.76282499999999
mapudungun_mapu1245,Mapudungun,mapu1245,Araucanian [arau1255],-71.27700999999999,-38.73917
dekwana_maqu1238,De'kwana,maqu1238,Cariban [cari1283],-64.38772499999999,4.707045
kumykkajtaktumenlerdialect_kumy1244,Kumyk (Kajtak Tumenler dialect),kumy1244,Turkic [turk1311],47.0,43.0
aymara_cent2142,Aymara,cent2142,Aymara [ayma1253],-68.5,-17.0
ceqwong_chew1245,Ceq Wong,chew1245,Austroasiatic [aust1305],102.08116,3.83331
negerhollands_nege1244,Negerhollands,nege1244,Indo-European [indo1319],-64.89215,18.34155
jamaicancreolelimonesecreoledialect_jama1262,Jamaican Creole (Limonese Creole dialect),jama1262,Indo-European [indo1319],-77.2612,18.13
puinave_puin1248,Puinave,puin1248,NAN,-67.68860000000001,3.92974
karata_kara1474,Karata,kara1474,Nakh-Daghestanian [nakh1245],46.31511,42.65005
mangvn_mang1378,Mang VN,mang1378,Austroasiatic [aust1305],102.13320333333333,21.430453333333332
cayapa_chac1249,Cayapa,chac1249,Barbacoan [barb1265],-79.0508,0.71489
jinshadai_nort1545,Jinsha Dai,nort1545,Hmong-Mien [hmon1336],106.68224,26.72377
kumykkajtakdialect_kumy1244,Kumyk (Kajtak dialect),kumy1244,Turkic [turk1311],47.0,43.0
tsovatush_bats1242,Tsova-Tush,bats1242,Nakh-Daghestanian [nakh1245],45.34397,42.1806
breton_bret1244,Breton,bret1244,Indo-European [indo1319],-3.78934,48.24523
dehong_tain1252,Dehong,tain1252,Tai-Kadai [taik1256],99.72204500000001,21.7836725
tehuelche_tehu1242,Tehuelche,tehu1242,Chonan [chon1288],-68.32346,-47.57963
nungfengshan_guib1244,Nung-Fengshan,guib1244,Tai-Kadai [taik1256],107.18368,23.68182
lakbalkhardialect_lakk1252,Lak (Balkhar dialect),lakk1252,Nakh-Daghestanian [nakh1245],47.0809,42.13275
seychellescreole_sese1246,Seychelles Creole,sese1246,Indo-European [indo1319],55.4503,-4.62314
wa_nucl1290,Wa,nucl1290,Austroasiatic [aust1305],99.108045,23.102420000000002
embera_nort2972,Embera,nort2972,Chocoan [choc1280],-77.57396,7.12761
qawasqar_qawa1238,Qawasqar,qawa1238,Kawesqar [kawe1237],-75.3756,-49.70303
lithuanian_lith1251,Lithuanian,lith1251,Indo-European [indo1319],23.96007,55.14291
catalan_stan1289,Catalan,stan1289,Indo-European [indo1319],3.3937550000000005,41.89826
english_stan1293,English,stan1293,Indo-European [indo1319],-1.0,53.0
thaikoratvariety_sout2746,Thai (Korat variety),sout2746,Tai-Kadai [taik1256],99.7031,6.85668
russian_russ1263,Russian,russ1263,Indo-European [indo1319],72.392575,53.919516
lezgimikrakhdialect_lezg1247,Lezgi (Mikrakh dialect),lezg1247,Nakh-Daghestanian [nakh1245],47.89507,41.51572
shipiboconibo_ship1254,Shipibo-Conibo,ship1254,Panoan [pano1256],-74.82192,-7.17105
mahasupaharikotgharidialect_maha1287,Mahasu Pahari (Kotghari dialect),maha1287,Indo-European [indo1319],77.53166,31.00883
tarifiytberber_tari1263,Tarifiyt Berber,tari1263,Afro-Asiatic [afro1255],-1.87354,35.328085
uncunwee_ghul1238,Uncunwee,ghul1238,Nubian [nubi1251],29.81219,11.64319
iraqw_iraq1241,Iraqw,iraq1241,Afro-Asiatic [afro1255],35.29393,-4.19948
tongan_tong1325,Tongan,tong1325,Austronesian [aust1307],-175.25,-21.17
dargwamugidialect_darg1241,Dargwa (Mugi dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
judeotat_jude1256,Judeo-Tat,jude1256,Indo-European [indo1319],34.75,32.33
yagua_yagu1244,Yagua,yagu1244,Peba-Yagua [peba1241],-72.21864,-3.42913
sanapanaenlhetdialect_sana1281,Sanapaná (Enlhet dialect),sana1281,Lengua-Mascoy [leng1261],-58.90698,-22.11454
kasong_suoy1242,Kasong,suoy1242,Austroasiatic [aust1305],104.13608,11.93601
chorote_iyoj1235,Chorote,iyoj1235,Matacoan [mata1289],-63.23831,-22.1896
ecunbuyang_lang1316,Ecun Buyang,lang1316,Tai-Kadai [taik1256],104.44861,23.0105
shannorthernshandialect_shan1277,Shan (Northern Shan dialect),shan1277,Tai-Kadai [taik1256],98.03422333333333,21.599496666666667
udi_udii1243,Udi,udii1243,Nakh-Daghestanian [nakh1245],47.7236,40.9
nenets_nene1249,Nenets,nene1249,Uralic [ural1272],71.02339,66.17749
qaukelao_qaua1234,Qau Kelao,qaua1234,Tai-Kadai [taik1256],106.16455,26.155438
ninamshirishanavariety_nina1238,Ninam (Shirishana variety),nina1238,Yanomam [yano1260],-62.780114999999995,4.038935
dargwamegebdialect_darg1241,Dargwa (Megeb dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
udmurt_udmu1245,Udmurt,udmu1245,Uralic [ural1272],52.63548,56.12921
italian_ital1282,Italian,ital1282,Indo-European [indo1319],12.648925,43.046411
mulam_mula1253,Mulam,mula1253,Tai-Kadai [taik1256],108.92802,24.81515
hungarian_hung1274,Hungarian,hung1274,Uralic [ural1272],19.655527142857142,46.90685857142858
archivariety2_arch1244,Archi (variety 2),arch1244,Nakh-Daghestanian [nakh1245],46.82673,42.3239
hawaiian_hawa1245,Hawaiian,hawa1245,Austronesian [aust1307],-155.42995,19.62965
german_stan1295,German,stan1295,Indo-European [indo1319],12.467623333333336,48.64895399999999
khanty_khan1273,Khanty,khan1273,Uralic [ural1272],66.12177,62.43083
estonian_esto1258,Estonian,esto1258,Uralic [ural1272],22.820923333333337,59.54781666666667
