EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
1628,729,1,1,1
805,1347,1,1,1
805,801,1,1,1
805,1268,1,1,1
805,1367,1,1,1
805,281,1,1,1
805,1482,1,1,1
805,159,1,1,1
805,690,1,1,1
805,184,1,1,1
805,1394,4,4,4
805,1132,1,1,1
805,286,1,1,1
805,1203,1,1,1
805,127,1,1,1
805,1247,1,1,1
805,1927,1,1,1
805,302,1,1,1
805,598,1,1,1
805,1769,1,1,1
805,1291,7,13,13
805,1627,1,1,1
805,280,2,2,2
805,1847,1,1,1
805,213,1,1,1
805,994,1,1,1
805,593,1,1,1
805,172,1,1,1
805,1401,1,1,1
805,1686,1,1,1
805,1187,1,1,1
1116,953,1,1,1
1116,38,1,1,1
1116,858,1,1,1
1116,1290,1,1,1
1116,928,1,1,1
1116,681,2,2,3
1116,44,5,6,7
1116,1387,1,1,1
1116,355,1,1,1
1116,1550,1,1,1
1116,1454,1,1,1
1116,1293,1,1,1
994,602,1,1,1
994,722,2,2,2
994,710,1,1,1
994,1560,1,1,1
994,1234,1,1,1
994,1048,1,1,1
994,1290,1,1,1
994,1897,1,1,1
994,2133,1,1,1
994,73,1,1,1
994,1905,1,1,1
994,951,1,1,1
994,44,1,1,1
994,1342,2,2,2
994,1566,3,3,3
994,765,1,1,1
994,709,1,1,1
994,1584,1,1,1
994,733,1,1,1
994,1733,4,4,4
994,1199,1,1,1
994,1458,1,1,1
994,387,1,1,1
994,2261,1,1,1
994,1510,1,1,1
994,1323,1,2,2
994,908,1,1,1
994,522,1,1,1
994,329,1,1,1
994,819,1,1,4
994,1674,1,1,1
994,977,8,9,10
994,876,7,23,23
994,1185,1,1,1
994,379,1,1,1
994,1132,1,1,1
994,1467,2,2,2
994,1383,1,1,1
994,1601,1,1,1
994,728,1,1,1
994,1221,1,1,1
994,1884,1,1,1
994,195,1,1,1
994,1401,1,1,1
994,1504,1,1,1
1707,12,1,1,1
1707,1038,1,1,1
1749,357,1,1,1
1749,1440,1,1,1
1749,700,14,36,36
1749,1127,2,2,2
1749,1389,1,1,1
1749,1222,1,1,1
1749,1750,6,7,7
1749,82,1,1,1
1749,1823,6,6,6
1749,1752,1,1,1
1749,375,1,1,1
1749,371,11,17,17
1749,657,1,1,1
1749,158,1,1,1
1749,953,1,1,1
1749,864,1,1,1
1749,694,16,55,57
1749,7,1,1,1
1749,2131,1,1,1
1749,1218,1,1,1
1749,695,1,1,1
1749,1122,1,1,1
1749,681,1,1,1
1749,1199,1,1,1
1749,2135,1,1,1
1749,412,5,7,7
1749,1806,1,1,1
1749,1676,1,1,1
1749,1453,1,1,1
1749,1985,1,1,1
1749,310,1,1,1
1749,778,1,1,1
1749,632,1,1,1
1749,1434,1,1,1
1749,998,1,1,1
1749,1327,1,3,3
1749,1423,1,1,1
1749,1275,1,1,1
1749,1759,1,1,1
1749,692,7,12,14
1749,1840,1,1,1
1749,221,1,1,1
1749,413,4,5,5
1749,733,1,2,2
1749,578,1,1,1
1749,1410,1,1,1
1749,1447,2,2,2
1749,643,2,5,5
1749,1606,2,2,2
1749,1398,1,1,1
1749,1261,1,1,1
1749,418,1,1,1
1749,215,1,1,1
1749,1170,9,11,11
1749,602,1,1,1
1749,377,1,1,1
1749,1420,1,1,1
1749,684,1,1,1
1749,1200,1,2,2
1749,1304,1,1,1
1749,414,3,5,5
1749,1892,1,1,1
1749,2094,1,1,1
1749,369,1,1,1
1749,690,1,1,1
1749,121,1,1,1
1749,1456,1,1,1
1749,156,1,1,1
1749,741,2,2,2
1749,1428,1,1,1
1749,1477,2,2,5
1749,1435,4,4,4
1749,1778,1,1,1
1749,983,1,1,1
1749,1594,1,1,1
1749,97,1,1,1
1749,765,1,1,1
1749,1152,1,1,1
1749,702,19,35,35
1749,663,1,1,1
1749,1303,1,1,1
1749,1262,1,1,1
1749,378,1,1,1
1749,1207,1,1,1
1749,1441,1,1,1
1749,1757,1,1,1
1749,1092,1,1,1
1749,1779,1,1,1
1749,1922,1,1,1
1749,1869,8,36,38
1749,2021,20,40,45
1749,1448,16,21,21
1749,718,1,1,1
1749,1942,1,1,1
1749,1363,1,1,1
1749,203,4,5,5
1749,522,1,1,1
1749,2575,2,2,2
1749,856,1,3,3
1749,1209,1,1,1
1749,1452,1,1,1
1749,832,1,1,1
1749,249,1,1,1
1749,501,3,7,7
1749,43,1,1,1
1749,1090,2,2,2
1749,1087,1,1,1
1749,719,2,2,2
1749,1100,1,1,1
1749,1219,1,1,1
1749,190,1,1,1
1749,1224,1,1,1
1749,1401,2,2,2
1749,1848,1,1,1
1749,415,2,2,2
292,325,1,1,1
292,326,1,1,1
292,133,1,1,1
292,38,1,1,1
292,2018,1,1,1
292,333,1,1,1
292,1668,1,1,1
292,1257,1,1,1
292,806,4,14,14
292,1151,1,1,1
292,1729,1,1,1
292,932,1,1,1
292,327,2,2,2
292,195,9,16,17
292,330,1,1,1
292,769,1,1,1
292,1934,1,1,1
292,761,1,1,1
292,1421,1,1,1
703,1580,1,1,1
703,790,1,1,1
703,754,3,3,3
703,1752,1,1,1
703,1852,2,2,2
703,1577,1,1,1
703,1942,2,2,2
703,891,1,1,1
703,1376,8,8,9
703,672,6,13,13
703,984,1,1,1
703,723,1,1,1
703,1209,1,1,1
703,1270,1,1,1
703,1963,13,24,29
703,863,1,1,1
703,1591,1,1,1
703,1283,1,1,1
703,1768,1,1,1
703,1173,1,1,1
703,1052,1,1,1
703,1244,1,1,1
703,1576,1,1,1
703,626,1,1,1
703,1631,16,23,24
703,1964,1,1,1
703,640,1,1,1
703,2,2,2,2
703,674,1,1,1
703,1394,1,1,1
1062,390,1,2,2
1062,1994,1,1,1
1062,1098,1,1,1
1062,667,1,1,1
1062,1811,1,1,1
1062,488,1,1,1
1062,1942,1,1,1
1062,1380,1,1,1
1062,1506,1,1,1
1062,1747,7,8,9
1062,1307,1,1,1
1062,1068,3,4,4
1062,1067,2,2,2
1062,1725,1,2,2
1062,1128,3,3,3
1062,1363,1,1,1
1062,1599,1,1,1
1062,649,1,1,1
1062,1916,1,1,1
1062,655,1,1,2
1062,392,1,3,3
1062,2252,1,1,1
1062,860,1,1,1
1062,661,1,1,1
1062,1335,1,1,1
1062,2249,1,1,1
1062,1489,1,1,1
1062,892,1,1,1
1062,724,1,1,1
1062,1404,1,1,1
1062,134,1,1,1
1062,1019,1,1,1
1062,721,1,1,1
1062,628,1,1,1
1275,1309,2,3,3
1275,1115,1,1,1
1275,333,1,1,1
1275,1458,3,3,3
1275,1729,1,1,1
1275,1072,1,1,1
1275,716,1,1,1
1275,345,1,1,1
1275,1470,1,1,1
1275,1455,1,1,1
1275,371,1,1,1
1275,657,2,2,2
1275,1102,1,1,1
1275,1917,1,1,1
1275,7,1,1,1
1275,386,1,1,1
1275,1028,1,1,1
1275,581,1,1,1
1275,2022,3,3,3
1275,1939,1,1,1
1275,107,1,1,1
1275,626,1,1,1
1275,2135,1,1,1
