716,communication,utter
1315,artifact,receiver
672,all,
1332,person,person
1618,person,grandchild
1068,artifact,court
843,animal,arachnid
1934,person,pauper
1389,body,digit
1853,animal,pigeon
996,all,
1747,act,practice
7,contact,
1309,communication,address
1361,act,means
930,location,settlement
1111,artifact,motor_vehicle
2009,animal,canine
1178,body,naris
1061,artifact,protective_covering
393,act,abscission
375,perception,smell
178,all,
1963,all,
1539,artifact,container
359,person,craftsman
1546,all,
216,communication,product
740,artifact,vessel
1838,body,point
755,possession,keep
779,artifact,object
943,object,body_of_water
64,artifact,pin
1107,motion,move
336,artifact,lock
1403,contact,grip
936,animal,male_horse
813,body,
68,artifact,design
1521,perception,be
952,phenomenon,atmospheric_phenomenon
1003,communication,accept
73,animal,mouth
1442,contact,rest
598,animal,covering
1474,object,body_of_water
365,contact,scatter
1025,communication,communicate
121,contact,twist
1612,communication,document
1233,time,time_period
1517,animal,hymenopterous_insect
1837,body,female_genitalia
673,artifact,building
1374,artifact,jewelry
676,body,excrete
1510,body,feature
662,artifact,electrical_device
340,artifact,rope
686,all,
1586,perception,perceive
1500,all,
1307,communication,communication
1190,animal,leporid
334,artifact,shelter
665,animal,hymenopterous_insect
2135,possession,exchange
1609,cognition,content
590,all,
1300,location,administrative_district
1898,artifact,optical_instrument
1294,all,
1145,object,wetland
325,artifact,fabric
2137,person,occultist
12,time,hour
1892,contact,
938,animal,horse
1144,person,perceiver
709,communication,inform
1124,artifact,tube
752,artifact,mercantile_establishment
1970,artifact,small_boat
342,food,fodder
38,contact,undo
1476,artifact,seat
288,creation,beat
1871,animal,even-toed_ungulate
1893,animal,phasianid
1545,person,adult
66,contact,rest
102,state,communicable_disease
1022,possession,stolen_property
1565,cognition,imaginary_place
1303,body,digit
2139,animal,rodent
357,contact,fasten
319,contact,stroke
815,group,polity
948,food,food
1775,artifact,furniture
1818,cognition,end
1299,food,beverage
800,body,limb
1051,artifact,container
629,substance,animal_skin
1783,cognition,somesthesia
1352,artifact,edge_tool
1690,artifact,barrier
1555,animal,lizard
301,person,leader
873,possession,levy
1821,artifact,implement
539,object,natural_object
1509,animal,dipterous_insect
1519,motion,travel_rapidly
1966,group,agglomeration
127,weather,
1850,artifact,fabric
239,plant,reproductive_structure
395,artifact,dose
1383,person,grandparent
1531,plant,stalk
1544,all,
2132,artifact,edge_tool
1647,animal,foal
1210,all,
591,communication,direction
1454,contact,rub
2020,person,litigant
284,artifact,tool
123,body,feature
757,artifact,fastener
1622,artifact,garment
1382,artifact,implement
1526,food,nutriment
884,possession,get
1095,contact,
1528,communication,concede
1109,state,infection
613,event,tide
808,motion,move
1121,all,
1323,artifact,timepiece
2014,motion,travel
765,motion,
1048,shape,shape
1322,food,meal
769,artifact,protective_covering
883,animal,insect
1681,body,area
1064,artifact,armor
289,creation,shape
743,event,ending
3,all,
950,animal,larid
1127,communication,transfer
318,communication,mark
1506,cognition,decide
1932,cognition,calculate
268,body,salivate
1629,time,day
1682,all,
1600,artifact,garment
1603,artifact,place_of_worship
731,food,food
1829,motion,move
2018,all,
82,state,emotional_arousal
1626,communication,inform
290,artifact,edge_tool
1234,all,
32,substance,wax
1405,communication,language_unit
76,person,adolescent
1007,animal,cattle
197,all,
227,animal,aquatic_vertebrate
1759,person,brother
1137,body,connective_tissue
942,food,sweetening
1906,all,
275,contact,strip
1360,animal,anseriform_bird
741,motion,operate
1479,animal,toothed_whale
745,artifact,support
208,body,mucus
49,communication,react
1559,possession,medium_of_exchange
480,artifact,flatware
277,artifact,stick
305,person,forebear
1222,body,erectile_organ
388,artifact,net
1370,time,time_period
1990,change,change_state
230,contact,clean
1557,event,happening
1669,person,relative
1784,emotion,
1116,change,change
1846,social,control
1663,artifact,bedroom_furniture
1576,contact,gather
1574,motion,travel
1754,artifact,jewelry
650,substance,fossil_fuel
1267,all,
1339,time,time_period
489,body,excretory_organ
718,possession,give
380,all,
582,possession,give
53,person,vital_principle
1794,artifact,trench
1524,food,alcohol
1401,consumption,consume
702,contact,seize
1779,social,act
493,all,
851,artifact,compartment
2252,artifact,way
108,artifact,implement
65,act,surprise_attack
785,all,
1172,competition,injure
1463,all,
1372,artifact,drug
1757,all,
1599,communication,language_unit
1251,body,body_part
1849,motion,boat
328,artifact,skirt
1909,change,change
900,artifact,public_transport
1375,artifact,framework
868,food,edible_fruit
1645,all,
968,plant,fruit
635,food,beverage
945,artifact,weapon
1434,contact,injure
581,communication,denote
1425,all,
606,plant,gramineous_plant
753,person,enrollee
1417,contact,
1866,communication,talk
1939,communication,vow
1260,time,work_time
1395,all,
1229,all,
2022,communication,declare
1487,motion,move
1032,person,national
1753,location,topographic_point
42,all,
1675,communication,declare
1102,motion,rise
902,act,extramarital_sex
372,all,
1388,state,shade
584,all,
736,artifact,area
1263,person,female_sibling
924,food,produce
921,object,natural_depression
1441,motion,travel
1110,animal,elasmobranch
1344,animal,sheep
1256,body,external_body_part
260,location,grassland
1979,artifact,edge_tool
979,person,creator
1840,creation,make
796,body,reproductive_organ
206,animal,firefly
1877,relation,cardinal_compass_point
1207,all,
1430,object,celestial_body
708,weather,
2136,artifact,brass
799,body,gliding_joint
1927,plant,wood
136,all,
1592,body,body_part
224,artifact,vessel
1218,artifact,line
782,event,ending
505,person,genitor
1432,contact,separate
1621,body,act_involuntarily
1327,person,kinsman
1884,all,
1045,person,writer
474,artifact,woman's_clothing
285,contact,beat
1584,body,vesicle
1047,motion,travel
641,plant,agaric
1354,all,
1452,motion,move
652,object,land
37,social,free
1135,contact,hit
791,person,person
892,Tops,attribute
1973,person,evil_spirit
803,body,gliding_joint
1768,object,bubble
1845,shape,sphere
1143,artifact,kitchen_appliance
181,animal,edentate
881,person,garmentmaker
781,feeling,emotion
1243,all,
621,substance,metallic_element
1646,person,female
1440,body,expectorate
14,artifact,support
1957,state,disease
2,substance,particulate
1410,cognition,
245,artifact,cleaning_implement
1608,perception,perceive
67,object,fragment
1077,plant,cereal
2019,artifact,bed
2138,person,fairy
1692,time,weekday
298,communication,shout
989,all,
1623,communication,communicate
1477,possession,have
344,plant,stalk
159,food,root_vegetable
257,emotion,reverence
1940,person,defender
1788,artifact,receiver
946,body,liquid_body_substance
1554,person,adult
1486,contact,put
1671,artifact,structure
1699,time,rest_day
1867,possession,coinage
383,person,ruler
2118,object,natural_elevation
1847,all,
579,act,military_action
90,all,
1704,all,
1276,time,season
426,person,spouse
1265,all,
1171,artifact,reflector
1227,substance,lumber
1005,person,sibling
390,act,social_control
837,all,
158,body,dress
1750,cognition,decide
1791,animal,lepidopterous_insect
80,artifact,jamb
2253,motion,descend
1538,animal,arachnid
1450,artifact,area
1703,all,
1049,body,tooth
13,act,falsification
1446,motion,
1992,all,
1399,substance,soil
1393,animal,process
1610,person,woman
2261,all,
1523,cognition,
1314,all,
666,object,body_of_water
655,substance,substance
172,body,bone
719,possession,get
1489,object,atmospheric_phenomenon
192,artifact,area
333,body,hairdo
504,cognition,
1093,location,area
854,artifact,pot
77,person,woman
332,artifact,piece_of_cloth
1781,body,finger
1287,all,
139,body,animal_tissue
1844,artifact,vessel
1756,person,woman
1513,cognition,expect
1613,attribute,visual_property
484,communication,declare
657,possession,cost
1712,communication,promise
2130,artifact,headdress
303,consumption,abstain
747,artifact,wheeled_vehicle
1373,food,beverage
1096,communication,musical_composition
43,motion,
790,all,
241,plant,plant_part
366,motion,walk
258,all,
1920,perception,perceive
706,all,
2004,contact,change_shape
876,artifact,structure
792,change,change_state
1778,motion,come
1802,artifact,fastener
236,person,stepparent
1128,communication,request
1342,time,season
1035,all,
928,contact,clasp
501,motion,move
1188,substance,carbon
1733,object,bow
1396,all,
722,act,crime
772,artifact,accessory
834,body,body_part
1694,time,weekday
1203,all,
244,all,
631,animal,placental
1329,all,
151,artifact,edge_tool
23,plant,cereal
1420,communication,determine
1310,all,
646,substance,residue
183,creation,create_from_raw_material
81,quantity,linear_unit
758,animal,wading_bird
723,location,point
1535,artifact,weapon
142,motion,return
263,person,hired_hand
194,group,kin
1407,body,
476,artifact,container
1281,artifact,correctional_institution
680,change,separate
628,plant,leaf
17,body,protective_fold
1836,body,duct
406,person,man
381,communication,accusation
6,event,geological_phenomenon
1205,body,articulator
1156,contact,
138,body,cleanse
2001,contact,coat
1467,shape,shape
1628,animal,rodent
1792,act,misdemeanor
2259,body,animal_tissue
1193,substance,vapor
1468,contact,
234,artifact,oar
763,animal,body_covering
1627,artifact,ligament
291,contact,skin
1763,artifact,stick
410,food,root_vegetable
1148,state,injury
492,all,
1228,object,object
1983,body,breathe
1607,emotion,dislike
1176,artifact,hand_shovel
157,change,discolor
1046,contact,
914,person,artist
1475,artifact,device
218,possession,penalty
1571,possession,exchange
704,all,
1033,change,break_up
1153,animal,bovine
1384,all,
1244,all,
1123,all,
1321,artifact,vessel
1773,artifact,topographic_point
1852,all,
1208,animal,feline
498,body,skeletal_muscle
281,artifact,rod
1347,body,rear
355,contact,cut
1181,plant,tree
1355,body,express_emotion
901,artifact,brick
1508,person,sovereign
882,animal,bird
274,contact,manipulate
1620,person,male_offspring
827,motion,move
1537,time,season
1488,artifact,regulator
1455,contact,move
1481,artifact,hand_tool
1560,body,external_body_part
703,all,
1001,person,smith
1876,animal,deer
70,all,
2002,artifact,excavation
1415,cognition,
654,substance,solid
730,animal,diapsid
1345,animal,sheep
1735,contact,separate
634,food,food
1217,person,parent
1391,location,municipality
1482,body,body_part
1672,communication,communicate
596,communication,token
770,artifact,jewelry
658,phenomenon,precipitation
155,contact,cut
1634,all,
154,animal,mammary_gland
934,animal,bovid
369,possession,be
21,perception,
1362,artifact,thoroughfare
488,attribute,property
853,artifact,structure
806,artifact,bedclothes
1543,animal,gastropod
941,food,brew
1888,group,set
1915,plant,conifer
1100,creation,create_from_raw_material
1655,body,act_involuntarily
1602,body,change_state
1564,all,
585,artifact,footwear
1769,artifact,shaft
1529,all,
247,change,convert
1119,social,change_integrity
397,communication,certificate
805,body,skeletal_structure
660,object,ridge
1530,artifact,vessel
2024,cognition,scheme
987,stative,be
1740,plant,conifer
1931,substance,animal_product
360,motion,shake
737,weather,burn
690,location,region
840,animal,pelecaniform_seabird
116,plant,conifer
204,all,
1284,group,financial_institution
1929,cognition,learn
1601,all,
1250,animal,big_cat
777,artifact,woodwind
1402,body,mammary_gland
416,artifact,stabilizer
1514,animal,chicken
1436,perception,irritate
354,contact,hit
96,motion,travel
1363,communication,communication
1071,artifact,implement
1173,body,hair
889,process,combustion
1225,time,time_unit
1059,person,stepchild
1223,body,internal_organ
1293,act,nonaccomplishment
933,artifact,partition
720,state,fortune
371,contact,touch
1443,motion,travel
640,substance,soil
203,social,unite
1593,all,
1125,all,
1058,person,stepchild
1938,artifact,defensive_structure
1154,plant,fruit
345,substance,solution
1264,change,
